entry,left_landmark_s,mirrored_pair_width_c,derivation,role,source,evidence_status
two_fifths,0.400000000,1.200000000,2*(1-2/5),predeclared candidate,T328/T329,constructed input
fibonacci_8_21,0.380952381,1.238095238,2*(1-8/21)=26/21,predeclared rational control,T328/T329/Q60,constructed input
exact_phi,0.381966011,1.236067977,2*(1-(2-phi))=2/phi,predeclared Phi candidate,T325/T328/T329/Q60,constructed input
three_eighths,0.375000000,1.250000000,2*(1-3/8)=5/4,predeclared rational control,T325/T328/T329/Q60,constructed input
one_over_e,0.367879441,1.264241118,2*(1-1/e),predeclared constant control,T328/T329,constructed input
T325_development_free_fit,0.383140000,1.233720000,2-0.766280 after orientation reversal,data-fitted parent carrier,T325,observed estimate; same phyllotaxis domain
T325_free_fit_interval_low,0.389985000,1.220030000,2-0.779970,bootstrap interval endpoint,T325,observed uncertainty endpoint
T325_free_fit_interval_high,0.377785000,1.244430000,2-0.755570,bootstrap interval endpoint,T325,observed uncertainty endpoint
T319_station_grid_maximum,,1.263451000,reported raw station-grid maximum,data-derived location,T319,observed but coarse and inconclusive
T307_phi_minus_one_over_e,,1.250154548,phi-1/e,algebraic crosswalk,T307,constructed output
Q42_forward_half_progress,,1.276000000,reported median approximate,different ARA observable,Q42,observed but not a Phi-step estimate
Q60_calibration_fit,,0.000256194,free phase-advance fit,data-fitted ordered phase advance,Q60,observed estimate outside cluster
